plan_id,carrier,plan_name,state,snp_type,sample_zip,food_card_amount,frequency,notes,who_qualifies,current_db_status
H4523-029,Aetna Medicare,Aetna Medicare Full Dual Care (HMO D-SNP),TX,D-SNP,77002,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4523-030,Aetna Medicare,Aetna Medicare Full Dual Care (HMO D-SNP),TX,D-SNP,75201,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4523-034,Aetna Medicare,Aetna Medicare Full Dual Care (HMO D-SNP),TX,D-SNP,78205,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4523-041,Aetna Medicare,Aetna Medicare Partial Dual Care (HMO D-SNP),TX,D-SNP,78205,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4523-043,Aetna Medicare,Aetna Medicare Partial Dual Care (HMO D-SNP),TX,D-SNP,77002,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4523-044,Aetna Medicare,Aetna Medicare Partial Dual Care (HMO D-SNP),TX,D-SNP,75201,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H8597-001,Aetna Medicare,Aetna Medicare Dual Care (HMO D-SNP),TX,D-SNP,78205,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H8597-002,Aetna Medicare,Aetna Medicare Dual Care (HMO D-SNP),TX,D-SNP,75201,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H8597-003,Aetna Medicare,Aetna Medicare Dual Care (HMO D-SNP),TX,D-SNP,77002,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H5472-007,Alignment Health Plan,Alignment Health Dual Select+ (HMO-POS D-SNP),TX,D-SNP,79901,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H5472-009,Alignment Health Plan,Alignment Health Total Dual+ (HMO-POS D-SNP),TX,D-SNP,79901,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H9706-002,Blue Cross and Blue Shield of Texas,Blue Cross Medicare Advantage Dual Care Plus (HMO D-SNP),TX,D-SNP,77002,,,,,"[medicare_gov] copay=0 · ""$100 allowance"""
H5447-002,Community First,Community First Medicare Advantage D-SNP (HMO D-SNP),TX,D-SNP,78205,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H9826-003,Community Health Choice,Community DualCare Aligned (HMO D-SNP),TX,D-SNP,77002,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H9826-004,Community Health Choice,Community DualCare Access (HMO D-SNP),TX,D-SNP,77701,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H7993-010,Devoted Health,DEVOTED DUAL 010 TX (HMO D-SNP),TX,D-SNP,77002,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H7993-012,Devoted Health,DEVOTED DUAL 012 TX (HMO D-SNP),TX,D-SNP,78205,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H7993-015,Devoted Health,DEVOTED DUAL 015 TX (HMO D-SNP),TX,D-SNP,78701,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H7993-017,Devoted Health,DEVOTED DUAL 017 TX (HMO D-SNP),TX,D-SNP,79901,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H7993-037,Devoted Health,DEVOTED DUAL FULL 037 TX (HMO D-SNP),TX,D-SNP,78701,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H7993-038,Devoted Health,DEVOTED DUAL FULL 038 TX (HMO D-SNP),TX,D-SNP,79901,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H7993-040,Devoted Health,DEVOTED DUAL FULL 040 TX (HMO D-SNP),TX,D-SNP,77002,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H7993-041,Devoted Health,DEVOTED DUAL FULL 041 TX (HMO D-SNP),TX,D-SNP,78205,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H3407-001,El Paso Health Medicare Advantage,El Paso Health Medicare Advantage Dual (HMO D-SNP),TX,D-SNP,79901,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H4513-027,HealthSpring,HealthSpring TotalCare (HMO D-SNP),TX,D-SNP,75701,,,,,"NO food_card row → renders ""None"""
H4513-060,HealthSpring,HealthSpring TotalCare (HMO D-SNP),TX,D-SNP,77002,,,,,"NO food_card row → renders ""None"""
H4513-075,HealthSpring,HealthSpring TotalCare (HMO D-SNP),TX,D-SNP,78401,,,,,"NO food_card row → renders ""None"""
H7115-005,Memorial Hermann Health Plan,Memorial Hermann Dual Advantage (HMO D-SNP),TX,D-SNP,77002,,,,,"[medicare_gov] copay=0 · ""$255 allowance"""
H7680-007,Prominence Health Plan,Prominence Dual (HMO D-SNP),TX,D-SNP,78501,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H7680-017,Prominence Health Plan,Prominence Dual (HMO D-SNP),TX,D-SNP,77002,,,,,"[medicare_gov] copay=0 · ""Food card benefit included (no Medicare.gov-published ceilin"""
H0609-052,UnitedHealthcare,UHC Dual Complete TX-D004 (HMO-POS D-SNP),TX,D-SNP,75201,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H0609-065,UnitedHealthcare,UHC Dual Complete TX-V007 (HMO-POS D-SNP),TX,D-SNP,75201,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H2406-050,UnitedHealthcare,UHC Dual Complete TX-D001 (PPO D-SNP),TX,D-SNP,79901,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H3868-001,UnitedHealthcare,UHC Dual Complete TX-Y1 (HMO-POS D-SNP),TX,D-SNP,77002,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H4514-016,UnitedHealthcare,UHC Dual Complete TX-D01P (HMO-POS D-SNP),TX,D-SNP,77469,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H4514-018,UnitedHealthcare,UHC Dual Complete TX-V01P (HMO-POS D-SNP),TX,D-SNP,77469,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H4514-021,UnitedHealthcare,UHC Dual Complete TX-S003 (HMO-POS D-SNP),TX,D-SNP,77002,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H4514-024,UnitedHealthcare,UHC Dual Complete TX-Q3 (HMO-POS D-SNP),TX,D-SNP,77002,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H4527-003,UnitedHealthcare,UHC Dual Complete TX-V002 (HMO-POS D-SNP),TX,D-SNP,78701,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H4527-015,UnitedHealthcare,UHC Dual Complete TX-D003 (HMO-POS D-SNP),TX,D-SNP,78501,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H4527-054,UnitedHealthcare,UHC Dual Complete TX-S4 (HMO-POS D-SNP),TX,D-SNP,79901,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H4527-057,UnitedHealthcare,UHC Dual Complete TX-Q2 (HMO-POS D-SNP),TX,D-SNP,79901,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H5322-025,UnitedHealthcare,UHC Dual Complete TX-D007 (HMO-POS D-SNP),TX,D-SNP,76501,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H5322-026,UnitedHealthcare,UHC Dual Complete TX-V005 (HMO-POS D-SNP),TX,D-SNP,78501,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H5322-038,UnitedHealthcare,UHC Dual Complete TX-V010 (HMO-POS D-SNP),TX,D-SNP,76501,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
H5322-046,UnitedHealthcare,UHC Dual Complete TX-S5 (HMO-POS D-SNP),TX,D-SNP,79401,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
R6801-011,UnitedHealthcare,UHC Dual Complete TX-S001 (Regional PPO D-SNP),TX,D-SNP,77002,,,,,"[medicare_gov] copay=0 · ""food_card included ($0 copay)"""
